,count
613,7870
614,7804
615,8009
616,8714
617,7333
618,6869
619,4073
620,7591
621,7720
622,8167
623,8395
624,7907
625,7436
626,7538
627,7733
628,7393
629,7415
630,8555
631,6889
632,6778
633,4639
634,7572
635,7328
636,8156
637,7965
638,3510
639,5478
640,6392
641,7691
642,7570
643,7282
644,7109
645,6639
646,5875
647,7534
648,7461
649,7509
650,5424
651,8090
652,6824
653,7058
654,7466
655,7693
656,7359
657,7444
658,7852
659,4459
660,22
661,1096
662,5566
663,5986
664,5847
665,5138
666,5107
667,5259
668,5686
669,5035
670,5315
671,5992
672,6536
673,6852
674,6269
675,4094
676,5495
677,5445
678,5698
679,5629
680,4669
681,5499
682,5634
683,5146
684,2425
685,3910
686,2277
687,2424
688,5087
689,3959
690,5260
691,5323
692,5668
693,5191
694,4649
695,6234
696,6606
697,5729
698,5375
699,5008
700,5582
701,3228
702,5170
703,5501
704,5319
705,5532
706,5611
707,5047
708,3786
709,5557
710,5267
711,4128
712,3623
713,1749
714,1787
715,920
716,1013
717,441
718,2114
719,3095
720,1341
721,1796
722,2729
