,count
56,1969
60,2134
467,5409
262,3641
407,1529
264,4795
680,6852
715,3786
208,4390
465,5918
417,4773
167,4844
38,1530
496,7030
630,8395
597,6530
300,3747
471,6370
586,7286
620,7870
163,5020
124,4433
154,5342
336,3614
59,1851
714,5047
304,4068
730,2729
628,7720
343,3190
719,4128
311,4205
441,7836
158,4401
51,1107
527,6664
494,4717
480,6196
361,2302
425,4990
454,5459
219,4326
308,3926
74,2192
282,5117
479,5633
4,1600
587,5786
664,7444
453,6133
644,7965
5,1606
141,4660
535,6825
135,3958
477,1027
378,2493
654,7534
22,986
660,7058
276,4456
284,2416
270,3907
426,3194
698,5323
281,5511
420,2732
220,4602
661,7466
320,3053
372,3425
120,3351
81,2121
716,4585
13,1421
447,8362
726,2114
700,5191
160,4586
712,5532
238,1115
379,2311
474,6565
710,5501
440,4378
522,7055
546,5687
195,5538
191,4086
116,3872
558,7446
721,1749
164,4891
106,3744
16,1000
63,2077
384,3163
676,5035
105,795
519,7641
687,4669
329,3068
345,3310
638,6889
405,3831
545,5463
93,3115
540,6891
433,4569
83,2210
678,5992
348,3709
568,7410
455,6235
198,4458
145,4677
414,2689
150,3982
585,7534
39,1605
536,6211
534,5099
667,22
563,6786
322,3663
253,5046
653,5875
533,6978
717,5557
357,1011
69,1977
2,1349
340,705
221,4780
681,6269
146,4679
289,4570
241,5204
29,1096
602,6053
114,4073
517,4127
508,5260
725,441
603,5255
176,5305
168,5119
347,3740
376,4097
634,7733
658,8090
624,7333
561,6031
189,5336
136,4123
446,6871
614,6203
254,4713
646,5478
290,4748
689,5634
619,7767
232,3873
33,1550
88,1536
44,1913
341,3322
61,1685
699,5668
199,4541
429,3333
394,3624
297,4687
73,2056
393,3243
541,6779
625,6869
609,6140
615,7504
217,4294
539,7458
604,6917
421,3389
138,4575
212,4266
616,5976
613,7112
671,5847
234,5895
67,1891
24,1985
381,2935
216,4866
129,4803
349,3577
111,1683
166,3767
207,4656
438,6312
552,6207
274,2918
621,7804
584,7273
525,7498
287,5217
469,7460
326,2566
121,4401
507,6073
228,4694
445,6230
117,4058
464,5585
25,506
110,4189
149,4098
152,4968
528,4972
461,6460
139,4917
260,4274
323,3520
656,7509
248,2710
450,5558
410,4169
19,1927
328,2792
296,4187
269,4120
226,4338
94,1795
515,6855
280,5409
286,3644
589,6544
682,4094
444,6093
184,6043
371,4521
640,4639
711,5319
275,3570
685,5698
182,5119
32,1526
80,2703
307,4046
11,1162
43,1589
86,2028
36,1623
58,1446
41,1746
411,3005
562,6830
209,3846
148,4788
594,7148
123,2633
574,6685
98,2455
377,3214
130,4182
23,1416
637,8555
555,6569
370,4098
512,6591
383,3292
201,3784
368,2368
554,4672
610,5810
387,2432
292,4195
256,4785
606,7697
197,5302
95,2808
704,5729
169,4744
581,6824
305,4186
560,6969
373,2376
227,4725
143,4492
180,5515
131,4864
696,3959
47,2475
324,2765
203,3285
84,2496
633,7538
565,6591
611,6034
398,4151
91,2252
82,1865
430,3956
119,5312
291,2424
57,2402
321,3392
257,3659
694,2424
442,5892
42,1472
617,8227
388,4339
335,3940
273,2429
488,6421
550,7403
53,1917
686,5629
128,4362
28,1098
183,4649
459,6436
510,6734
675,5686
151,3974
244,4727
543,7335
544,6879
639,6778
265,2395
288,5041
423,4363
147,4758
659,6824
177,4708
99,2895
448,3372
431,4916
115,4400
72,2046
537,5905
677,5315
718,5267
174,4991
87,2425
551,6241
486,5740
705,5375
314,3368
396,4579
600,7765
472,6691
70,2132
599,7375
277,4826
723,920
9,1321
359,1317
707,5582
192,4258
629,8167
559,7499
684,5445
